# Raw data from Gardner, et al., Cell, 147, 1092, 2011.
#
# Each entry in the respective columns is the time, in seconds, 
# between the start of growth of a microtubule and catastrophe.
#
# The concentration of tubulin for all experiments was 12 uM.
# The concentration of MCAK for each condition is given at the
# head of each column.
#
# Kindly provided by Melissa Gardner, University of Minnesota
9 nM MCAK,7 nM MCAK,5 nM MCAK,2.4 nM MCAK
15,15,15,35
15,20,20,40
20,25,20,40
25,25,20,45
25,25,25,45
25,30,25,45
25,30,25,45
25,30,25,45
25,30,25,55
25,30,30,55
25,30,30,60
25,30,30,60
30,30,30,60
30,30,35,65
30,30,35,65
30,30,35,70
30,35,35,70
30,35,35,70
30,35,35,75
30,40,40,75
30,40,40,80
30,40,40,80
30,40,40,80
30,45,40,80
30,45,40,80
30,45,40,85
30,45,40,85
35,45,40,90
35,45,40,90
35,45,40,95
35,50,45,95
35,50,45,105
35,50,45,105
40,50,45,115
40,50,45,130
40,55,45,130
40,55,45,145
40,55,45,150
40,55,50,155
40,55,50,160
40,60,50,160
40,60,50,160
40,60,55,165
40,60,55,170
40,60,55,170
40,65,55,175
40,65,55,175
45,65,55,180
45,70,55,180
45,70,55,185
45,70,55,190
45,70,55,190
45,70,55,195
45,70,55,200
45,70,55,200
45,75,55,200
45,75,55,210
50,75,60,215
50,75,60,215
50,75,65,220
50,75,65,225
50,80,65,230
50,80,65,240
50,80,65,240
50,80,65,240
50,85,65,245
50,85,70,245
50,85,70,245
55,90,75,245
55,95,75,245
55,95,75,245
55,100,75,250
55,100,75,250
55,100,80,260
55,100,80,260
60,105,80,260
60,105,80,265
60,105,80,270
60,110,80,270
60,110,80,270
60,110,80,280
60,110,80,280
60,110,80,280
60,115,80,280
60,115,80,285
60,115,80,290
60,120,85,290
60,120,85,300
60,120,85,310
60,120,85,310
65,120,85,315
65,120,85,315
65,120,90,315
65,120,90,325
65,125,90,325
65,125,90,330
65,130,90,335
65,130,90,340
65,130,90,345
65,130,95,350
65,130,95,350
65,140,95,360
65,140,95,375
65,140,100,375
65,140,100,375
65,140,100,380
65,140,100,390
65,140,100,395
65,145,100,395
65,145,100,410
70,145,100,410
70,145,100,410
70,145,105,415
70,145,105,425
70,150,105,435
70,150,105,445
70,150,105,450
70,155,110,470
70,155,110,470
70,160,110,475
70,165,110,490
75,165,110,500
75,165,110,500
75,170,110,505
75,170,110,510
75,170,115,515
75,170,115,520
75,175,115,525
75,175,115,535
80,175,115,540
80,175,115,545
80,180,120,570
80,185,120,570
80,185,120,585
80,185,120,600
80,190,120,615
80,190,120,625
80,190,120,630
80,190,120,635
80,195,120,635
80,195,120,640
85,195,125,650
85,195,125,660
85,195,125,675
85,200,125,690
85,200,125,690
85,200,125,700
85,200,130,705
85,200,130,720
85,200,130,740
85,200,130,750
85,200,130,750
90,200,130,775
90,205,130,800
90,205,130,810
90,205,130,815
90,205,135,915
90,205,135,920
90,205,135,1010
95,205,135,1010
95,205,135,1015
95,210,140,1030
95,210,140,1040
95,210,140,1045
95,215,140,1080
95,215,140,1200
95,215,140,1260
95,220,140,1305
95,225,140,
95,230,145,
95,230,145,
95,230,145,
95,235,145,
100,235,145,
100,235,145,
100,235,145,
100,240,145,
100,240,150,
100,240,150,
100,240,150,
105,245,150,
105,245,150,
105,245,150,
105,245,155,
105,250,155,
105,255,155,
105,255,155,
110,260,160,
110,260,160,
110,265,160,
110,270,160,
110,270,160,
110,270,165,
115,275,165,
115,275,165,
115,275,165,
115,275,165,
115,285,165,
115,290,170,
120,290,170,
120,295,170,
120,295,170,
120,300,170,
120,300,175,
120,300,180,
120,300,180,
125,305,180,
125,305,185,
125,305,185,
125,310,190,
125,310,190,
125,310,190,
130,310,195,
130,310,195,
130,310,200,
135,315,200,
135,320,200,
135,320,200,
135,320,200,
135,325,200,
135,330,200,
135,335,205,
135,340,205,
135,340,205,
135,345,205,
140,350,210,
140,350,210,
140,350,210,
140,375,210,
140,375,210,
140,375,210,
145,380,215,
145,380,215,
145,380,215,
145,410,215,
145,410,215,
150,420,215,
150,430,215,
150,440,215,
155,445,220,
155,445,220,
160,465,230,
160,465,230,
160,465,230,
160,470,235,
160,485,235,
165,490,235,
165,500,235,
165,505,235,
175,530,240,
175,530,240,
175,540,240,
175,550,245,
175,550,245,
175,590,245,
175,595,250,
175,600,250,
175,600,255,
180,605,255,
180,605,260,
180,610,260,
185,610,265,
185,615,265,
190,645,270,
190,655,270,
190,670,275,
190,675,275,
190,680,280,
190,760,290,
195,775,295,
195,790,295,
195,800,300,
195,810,300,
195,820,300,
200,950,310,
200,975,315,
200,1580,320,
205,,320,
205,,325,
210,,325,
210,,335,
210,,335,
210,,340,
210,,340,
210,,345,
210,,345,
215,,345,
215,,350,
215,,350,
220,,350,
220,,355,
225,,355,
230,,355,
235,,355,
235,,355,
235,,360,
235,,360,
235,,370,
240,,375,
240,,380,
245,,380,
245,,385,
245,,390,
245,,400,
245,,400,
245,,405,
250,,410,
250,,410,
250,,415,
250,,420,
255,,425,
255,,425,
255,,450,
260,,455,
260,,455,
260,,460,
260,,465,
265,,470,
270,,485,
270,,485,
280,,510,
280,,515,
280,,525,
280,,540,
285,,545,
285,,560,
285,,575,
290,,610,
290,,615,
290,,620,
295,,640,
300,,675,
305,,680,
305,,690,
305,,700,
315,,720,
315,,770,
320,,785,
320,,865,
325,,895,
325,,900,
335,,935,
335,,975,
335,,1005,
335,,1335,
340,,1610,
355,,1615,
355,,,
360,,,
365,,,
365,,,
365,,,
370,,,
375,,,
410,,,
410,,,
415,,,
415,,,
415,,,
415,,,
420,,,
420,,,
420,,,
430,,,
470,,,
475,,,
475,,,
480,,,
485,,,
495,,,
495,,,
495,,,
505,,,
525,,,
530,,,
540,,,
540,,,
545,,,
560,,,
610,,,
630,,,
650,,,
660,,,
705,,,
720,,,
725,,,
725,,,
740,,,
755,,,
765,,,
800,,,
800,,,
805,,,
870,,,
895,,,
900,,,
915,,,
1000,,,
1035,,,
1075,,,
1140,,,
1175,,,
1225,,,
1390,,,